Date;New commune;New Id;Old commune 1;Old Id 1;Old commune 2;Old Id 2;Old commune 3;Old Id 3;Old commune 4;Old Id 4;Old commune 5;Old Id 5;Old commune 6;Old Id 6;Old commune 7;Old Id 7
01.01.2019;Stammheim;292;Oberstammheim;36;Unterstammheim;42;Waltalingen;44;-;-;-;-;-;-;-;-
01.01.2019;Wädenswil;293;Hütten;134;Schönenberg (ZH);140;Wädenswil;142;-;-;-;-;-;-;-;-
01.01.2018;Elgg;294;Elgg;217;Hofstetten (ZH);222;-;-;-;-;-;-;-;-;-;-
01.01.2018;Horgen;295;Hirzel;132;Horgen;133;-;-;-;-;-;-;-;-;-;-
01.01.2020;Thurnen;889;Kirchenthurnen;873;Lohnstorf;874;Mühlethurnen;876;-;-;-;-;-;-;-;-
01.01.2017;Estavayer;2054;Bussy;2004;Estavayer-le-Lac;2015;Morens;2033;Murist;2034;Rueyres-les-Prés;2039;Vuissens;2049;Vernay;2052
01.01.2017;Cheyres-Châbles;2055;Châbles;2005;Cheyres;2010;-;-;-;-;-;-;-;-;-;-
01.01.2020;Villaz;2117;Villaz-Saint-Pierre;2111;La Folliaz;2116;-;-;-;-;-;-;-;-;-;-
01.01.2020;Prez;2237;Corserey;2185;Noréaz;2213;Prez-vers-Noréaz;2221;-;-;-;-;-;-;-;-
01.01.2018;Bergün Filisur;3544;Bergün;3521;Filisur;3522;-;-;-;-;-;-;-;-;-;-
01.01.2019;Rheinwald;3714;Hinterrhein;3691;Nufenen;3693;Splügen;3694;-;-;-;-;-;-;-;-
02.04.2017;Riviera;5287;Cresciano;5283;Iragna;5284;Lodrino;5285;Osogna;5286;-;-;-;-;-;-
18.10.2020;Verzasca;5399;Brione;5095;Corippo;5102;Frasco;5105;Sonogno;5129;Vogorno;5135;-;-;-;-
01.01.2016;Jorat-Mézières;5806;Carrouge;5782;Ferlens;5789;Mézières;5791;-;-;-;-;-;-;-;-
01.01.2017;Goms;6077;Blitzingen;6055;Niederwald;6064;Grafschaft;6073;Münster-Geschinen;6074;Reckingen-Gluringen;6075;-;-;-;-
01.01.2017;Crans-Montana;6253;Chermignon;6234;Mollens;6242;Montana;6243;Randogne;6244;-;-;-;-;-;-
01.01.2018;La Grande Béroche;6417;Bevaix;6402;Fresens;6409;Gorgier;6410;Montalchez;6411;Saint-Aubin-Sauges;6414;Vaumarcus;6415;-;-
